Time(s),X,Y,
1.86027,4.04167,3.33333,
1.86862,4.04167,3.33333,
1.87693,4.04167,3.33333,
1.88527,4.04167,3.33333,
1.8936,4.04167,3.33333,
1.90194,4.04167,3.33333,
1.91027,4.04167,3.33333,
1.91863,4.04167,3.325,
1.92695,4.04167,3.31667,
1.9353,4.04167,3.3,
1.94362,4.04167,3.29167,
1.95199,4.04167,3.26667,
1.96028,4.04167,3.25833,
1.96864,4.04167,3.21667,
1.97695,4.04167,3.18333,
1.98533,4.04167,3.15833,
1.99363,4.05,3.15,
2.00199,4.06667,3.1,
2.01029,4.075,3.08333,
2.01867,4.10833,3.025,
2.02695,4.10833,3.025,
2.0353,4.14167,2.975,
2.04363,4.15833,2.95,
2.05198,4.18333,2.91667,
2.06033,4.19167,2.90833,
2.06863,4.225,2.86667,
2.07696,4.23333,2.85,
2.0853,4.275,2.8,
2.09363,4.29167,2.76667,
2.10198,4.30833,2.73333,
2.1103,4.31667,2.70833,
2.11864,4.34167,2.675,
2.12696,4.35,2.65,
2.13537,4.38333,2.58333,
2.14363,4.39167,2.55833,
2.152,4.40833,2.51667,
2.16032,4.425,2.475,
2.16866,4.45833,2.43333,
2.17697,4.475,2.40833,
2.18534,4.525,2.34167,
2.19364,4.53333,2.31667,
2.20199,4.6,2.25,
2.21032,4.65,2.20833,
2.21869,4.71667,2.14167,
2.22698,4.76667,2.11667,
2.23534,4.80833,2.1,
2.24365,4.825,2.08333,
2.25199,4.875,2.05833,
2.26034,4.89167,2.05,
2.26868,4.98333,2.00833,
2.27698,5.00833,1.98333,
2.28539,5.03333,1.98333,
2.29366,5.05833,1.98333,
2.30202,5.10833,1.98333,
2.31034,5.13333,1.98333,
2.31869,5.20833,1.95833,
2.32699,5.20833,1.95833,
2.33538,5.28333,1.925,
2.34367,5.29167,1.91667,
2.35203,5.325,1.9,
2.36035,5.34167,1.89167,
2.36868,5.40833,1.88333,
2.377,5.40833,1.88333,
2.38537,5.45,1.86667,
2.39367,5.45,1.86667,
2.40204,5.49167,1.85833,
2.41035,5.50833,1.85833,
2.41869,5.59167,1.85833,
2.42701,5.59167,1.85833,
2.43538,5.675,1.85833,
2.44367,5.725,1.85833,
2.45201,5.76667,1.85833,
2.46036,5.80833,1.86667,
2.46924,5.84167,1.86667,
2.47706,5.85833,1.86667,
2.48539,5.925,1.88333,
2.49367,5.93333,1.88333,
2.50202,5.96667,1.88333,
2.51036,5.975,1.89167,
2.5187,5.98333,1.89167,
2.52702,5.99167,1.89167,
2.53537,6.025,1.89167,
2.5437,5.00145,3.38522,
2.55203,6.03061,1.88775,
2.56037,6.03061,1.88775,
2.56873,6.03061,1.88775,
2.57703,6.03061,1.88775,
2.58542,6.03061,1.88775,
2.59369,6.03061,1.88775,
2.60209,6.03061,1.88775,
2.61037,6.19919,1.77996,
2.61869,6.19919,1.77996,
2.62703,6.19919,1.77996,
2.63559,6.19919,1.77996,
2.64372,6.34579,1.70033,
2.6521,6.34579,1.70033,
2.66043,6.34579,1.70033,
2.66877,6.34579,1.70033,
2.67707,6.50228,1.62824,
2.68542,6.50228,1.62824,
2.69371,6.50228,1.62824,
2.70204,6.50228,1.62824,
2.7104,6.50228,1.62824,
2.71874,6.67581,1.5625,
2.72704,6.67581,1.5625,
2.73544,6.67581,1.5625,
2.74372,6.67581,1.5625,
2.75209,6.67581,1.5625,
2.76041,6.83264,1.51498,
2.76874,6.83264,1.51498,
2.77705,6.83264,1.51498,
2.78539,6.83264,1.51498,
2.79372,6.83264,1.51498,
2.80207,6.83264,1.51498,
2.8104,7.0021,1.47556,
2.81873,7.0021,1.47556,
2.82706,7.0021,1.47556,
2.83542,7.0021,1.47556,
2.84371,7.0021,1.47556,
2.85206,7.0021,1.47556,
2.8604,7.0021,1.47556,
2.86874,7.0021,1.47556,
2.87705,7.19685,1.44485,
2.88541,7.19685,1.44485,
2.89375,7.19685,1.44485,
2.90205,7.19685,1.44485,
2.9104,7.19685,1.44485,
2.91875,7.19685,1.44485,
2.92706,7.19685,1.44485,
2.93541,7.36065,1.43071,
2.94371,7.36065,1.43071,
2.95208,7.36065,1.43071,
2.96041,7.36065,1.43071,
2.96876,7.36065,1.43071,
2.97709,7.36065,1.43071,
2.98547,7.36065,1.43071,
2.99378,7.36065,1.43071,
3.00209,7.5436,1.4273,
3.01043,7.5436,1.4273,
3.0188,7.5436,1.4273,
3.0271,7.5436,1.4273,
3.03543,7.5436,1.4273,
3.04376,7.78318,1.44256,
3.05212,7.78318,1.44256,
3.06042,7.78318,1.44256,
3.0688,7.78318,1.44256,
3.07709,7.94463,1.46564,
3.08544,7.94463,1.46564,
3.09377,7.94463,1.46564,
3.10213,7.94463,1.46564,
3.11044,7.94463,1.46564,
3.11879,7.94463,1.46564,
3.12711,7.94463,1.46564,
3.13546,7.94463,1.46564,
3.14377,8.11578,1.5017,
3.15212,8.11578,1.5017,
3.16045,8.11578,1.5017,
3.16881,8.11578,1.5017,
3.17711,8.43667,1.60347,
3.18547,8.43667,1.60347,
3.19376,8.675,1.63333,
3.20216,8.74167,1.63333,
3.21044,8.76667,1.63333,
3.21878,8.85833,1.63333,
3.22709,8.89167,1.63333,
3.23545,8.93333,1.63333,
3.24377,8.95,1.63333,
3.25216,8.99167,1.63333,
3.26044,9,1.63333,
3.2688,9.06667,1.63333,
3.27712,9.09167,1.63333,
3.28547,9.11667,1.63333,
3.29378,9.125,1.63333,
3.30211,9.15833,1.63333,
3.31039,9.16667,1.63333,
3.31873,9.23333,1.65833,
3.32705,9.29167,1.68333,
3.33541,9.45,1.725,
3.34377,9.48333,1.73333,
3.35218,9.59167,1.775,
3.36045,9.60833,1.78333,
3.36885,9.65833,1.81667,
3.37712,9.675,1.83333,
3.38546,9.7,1.85833,
3.39382,9.7,1.85833,
3.40217,9.725,1.88333,
3.41047,9.73333,1.89167,
3.41881,9.75,1.91667,
3.42714,9.75833,1.925,
3.43548,9.78333,1.96667,
3.4438,9.8,1.99167,
3.45213,9.81667,2.03333,
3.46045,9.83333,2.075,
3.46886,9.85,2.10833,
3.47714,9.875,2.15,
3.48552,9.89167,2.20833,
3.49382,9.9,2.25833,
3.5022,9.9,2.29167,
3.51048,9.91667,2.33333,
3.51883,9.91667,2.36667,
3.52718,9.91667,2.40833,
3.53554,9.91667,2.44167,
3.54385,9.91667,2.45833,
3.55223,9.91667,2.50833,
3.56052,9.91667,2.54167,
3.5689,9.91667,2.58333,
3.57719,9.91667,2.625,
3.58556,9.91667,2.675,
3.59385,9.91667,2.69167,
3.60292,9.91667,2.775,
3.61051,9.91667,2.8,
3.61885,9.91667,2.85,
3.62718,9.91667,2.86667,
3.63556,9.91667,2.95,
3.64385,9.91667,2.98333,
3.6528,9.91667,3.01667,
3.66051,9.91667,3.05833,
3.66884,9.91667,3.075,
3.67717,9.91667,3.1,
3.68554,8.62045,1.67731,
3.69388,9.97349,3.27053,
3.70226,9.97349,3.27053,
3.71055,9.97349,3.27053,
3.71891,10.0168,3.43791,
3.72721,10.0168,3.43791,
3.73555,10.0168,3.43791,
3.74387,10.0168,3.43791,
3.75283,10.0168,3.43791,
3.76052,10.0168,3.43791,
3.76888,10.0507,3.61994,
3.7772,10.0507,3.61994,
3.78554,10.0507,3.61994,
3.79388,10.0507,3.61994,
3.80226,10.0507,3.61994,
3.81055,10.0715,3.80545,
3.81892,10.0715,3.80545,
3.82721,10.0715,3.80545,
3.83555,10.0715,3.80545,
3.84388,10.0752,4.13554,
3.85226,10.0752,4.13554,
3.86055,10.0541,4.35638,
3.86893,10.0541,4.35638,
3.87722,10.0541,4.35638,
3.88557,10.0043,4.61553,
3.89388,10.0043,4.61553,
3.90225,9.95962,4.77495,
3.91055,9.95962,4.77495,
3.91894,9.8984,4.94762,
3.92722,9.8984,4.94762,
3.93559,9.74167,5.31667,
3.94388,9.68333,5.41667,
3.95226,9.625,5.53333,
3.96057,9.55,5.64167,
3.9689,9.475,5.74167,
3.97721,9.4,5.84167,
3.98561,9.33333,5.95,
3.99389,9.24167,6.075,
4.00223,9.16667,6.18333,
4.01057,9.09167,6.30833,
4.01894,9.025,6.425,
4.02724,8.95833,6.50833,
4.03557,8.89167,6.59167,
4.0439,8.825,6.65833,
4.05285,8.75,6.70833,
4.06062,8.63333,6.79167,
4.06895,8.53333,6.85,
4.07725,8.44167,6.90833,
4.08562,8.34167,6.96667,
4.09391,8.28333,6.975,
4.10228,8.23333,6.975,
4.11058,8.21667,6.975,
4.11892,8.14167,6.975,
4.12722,8.14167,6.975,
4.13558,8.03333,6.96667,
4.14391,7.99167,6.95,
4.15229,7.88333,6.925,
4.16059,7.71667,6.88333,
4.16896,7.65833,6.88333,
4.17725,7.40833,6.83333,
4.1856,7.225,6.81667,
4.19393,7.04167,6.78333,
4.20226,6.91667,6.74167,
4.21058,6.725,6.64167,
4.21892,6.71667,6.63333,
4.22726,6.68333,6.625,
4.23559,6.575,6.54167,
4.24393,6.53333,6.5,
4.25226,6.49167,6.46667,
4.2606,6.45833,6.43333,
4.26897,6.41667,6.39167,
4.27724,6.39167,6.35833,
4.28565,6.33333,6.28333,
4.29392,9.76814,5.19593,
4.30227,6.26688,6.24814,
4.3106,6.26688,6.24814,
4.31898,6.26688,6.24814,
4.32728,6.26688,6.24814,
4.33565,6.10992,6.15462,
4.34394,6.10992,6.15462,
4.35233,6.10992,6.15462,
4.36062,6.10992,6.15462,
4.36899,5.90591,6.00838,
4.37729,5.90591,6.00838,
4.38566,5.90591,6.00838,
4.39395,5.7531,5.87699,
4.40234,5.7531,5.87699,
4.41064,5.62612,5.75023,
4.41897,5.62612,5.75023,
4.42727,5.51677,5.62528,
4.43567,5.51677,5.62528,
4.44396,5.3499,5.39707,
4.45234,5.3499,5.39707,
4.46063,5.20456,5.14266,
4.46897,5.20456,5.14266,
4.47728,5.10679,4.92047,
4.48567,5.10679,4.92047,
4.49397,5.10679,4.92047,
4.50236,5.03414,4.70303,
4.51064,5.03414,4.70303,
4.51896,4.96876,4.40931,
4.5273,4.96876,4.40931,
4.53563,4.94337,4.19583,
4.54398,4.93736,3.91276,
4.55236,4.93736,3.91276,
4.56062,4.95652,3.6753,
4.56897,4.95652,3.6753,
4.5773,5.03413,3.29701,
4.58564,5.03413,3.29701,
4.59398,5.12077,3.04396,
4.60232,5.12077,3.04396,
4.61065,5.2469,2.77596,
4.61902,5.2469,2.77596,
4.6273,5.39888,2.5303,
4.63564,5.4967,2.39953,
4.64398,5.61754,2.259,
4.65233,5.81534,2.06696,
4.66065,5.81534,2.06696,
4.66898,6.046,1.88799,
4.67735,6.1823,1.80037,
4.68565,6.1823,1.80037,
4.69399,6.4382,1.66605,
4.70234,6.4382,1.66605,
4.71066,6.70058,1.56368,
4.719,6.89537,1.50819,
4.72733,6.89537,1.50819,
4.73566,7.15433,1.45929,
4.74399,7.15433,1.45929,
4.75233,7.40833,1.35,
4.76064,7.51667,1.275,
4.76899,7.56667,1.24167,
4.77734,7.56667,1.24167,
4.78565,7.65833,1.21667,
4.79399,7.68333,1.20833,
4.80239,7.70833,1.20833,
4.81066,7.725,1.20833,
4.81903,7.74167,1.20833,
4.82735,7.75,1.20833,
4.83563,7.8,1.20833,
4.84396,7.85,1.21667,
4.85227,7.9,1.225,
4.86061,7.975,1.25,
4.86894,8.1,1.28333,
4.87729,8.175,1.3,
4.88568,8.24167,1.31667,
4.89402,8.31667,1.34167,
4.9024,8.40833,1.39167,
4.91071,8.525,1.45,
4.91903,8.66667,1.5,
4.92736,8.80833,1.55833,
4.9357,9.05,1.65833,
4.944,9.21667,1.725,
4.95236,9.31667,1.76667,
4.96068,9.43333,1.825,
4.96903,9.575,1.89167,
4.97736,9.74167,1.95833,
4.98571,9.90833,2.025,
4.99401,10.1083,2.05833,
5.00241,10.3083,2.09167,
5.01068,10.6417,2.09167,
5.01904,10.8583,2.09167,
5.02738,11.0917,2.09167,
5.03575,11.5917,2.075,
5.04402,11.8583,2.025,
5.05243,12.225,1.90833,
5.06071,12.525,1.775,
5.06911,12.675,1.70833,
5.07741,12.7583,1.65,
5.08572,12.8083,1.625,
5.09405,12.8417,1.60833,
5.10244,12.8583,1.59167,
5.11074,12.8833,1.575,
5.1191,12.8833,1.56667,
5.1274,12.8833,1.56667,
5.13579,12.8833,1.56667,
5.14408,12.8833,1.56667,
5.15247,12.8917,1.56667,
5.16074,12.8917,1.56667,
5.16914,12.9,1.56667,
5.1774,12.9,1.56667,
5.18577,12.9083,1.55833,
5.19409,12.9083,1.55833,
5.20247,12.9167,1.55,
5.2108,12.9167,1.53333,
5.21909,12.9167,1.525,
5.22741,12.9167,1.51667,
5.23715,12.9167,1.48333,
5.24432,12.9167,1.46667,
5.25265,12.9083,1.40833,
5.26096,12.9083,1.4,
5.26932,12.8917,1.34167,
5.27762,12.8917,1.325,
5.28602,12.8833,1.30833,
5.29427,12.8833,1.30833,
5.30322,12.8583,1.25833,
5.31133,12.8333,1.23333,
5.3197,12.7583,1.18333,
5.32798,12.7333,1.16667,
5.33633,12.45,1.14167,
5.34467,12.2667,1.10833,
5.35304,11.3833,1.04167,
5.36135,11.1333,1.025,
5.36972,10.3667,0.991667,
5.37797,9.83333,0.991667,
5.38635,9.31667,0.991667,
5.3947,8.75,0.991667,
5.403,8.21667,0.991667,
5.41133,7.56667,0.925,
5.41966,6.61667,0.775,
5.428,6.08333,0.658333,
5.43641,5.56667,0.525,
5.44467,5.31667,0.475,
5.45305,4.46667,0.258333,
5.46136,4.28333,0.225,
5.4697,3.83333,0.075,
5.47799,3.71667,0.025,
5.48635,3.64167,0,
