Time(s),Force_mag (N),Angle,
2.02753,0,2.96437,
2.03583,0,2.96437,
2.04417,0,2.96437,
2.05247,0,2.96437,
2.06083,0,2.96437,
2.06916,0,2.96437,
2.07754,0,2.96437,
2.08584,0,2.96437,
2.09417,0,2.96437,
2.10248,0,2.96437,
2.11084,0,2.96437,
2.11919,0,2.96437,
2.12757,0,2.96437,
2.13583,0,2.96413,
2.14422,0,2.9663,
2.15253,0,2.97021,
2.16089,0,2.97397,
2.16918,0,2.98586,
2.17757,0,2.99847,
2.18585,0,3.01112,
2.1942,0,3.03547,
2.20251,0,3.05722,
2.21091,0,3.07756,
2.21918,0,3.10003,
2.2276,0,3.12072,
2.23588,0,-3.13959,
2.24426,0,-3.11844,
2.25253,0,-3.07533,
2.26092,0,-3.04789,
2.26921,0,-3.02984,
2.27759,0,-3.02901,
2.28586,0,-3.02901,
2.29427,0,-3.02595,
2.30252,0,-3.02595,
2.31089,0,-3.02316,
2.3192,0,-3.02316,
2.3276,0,-3.02286,
2.33587,0,-3.02286,
2.34426,0,-3.02286,
2.35254,0,-3.02286,
2.36093,0,-3.02286,
2.36921,0,-3.02286,
2.37761,0,-3.02257,
2.38587,0,-3.02257,
2.39428,0,-3.02226,
2.40253,0,-3.02226,
2.41092,0,-3.02226,
2.41922,0,-3.02226,
2.42756,0,-3.02226,
2.43591,0,-3.02196,
2.44423,0,-3.02196,
2.45256,0,-3.02419,
2.46095,0,-3.02642,
2.46922,0,-3.02642,
2.47758,0,-3.03122,
2.48589,0,-3.03349,
2.4943,0,-3.03807,
2.50256,0,-3.04926,
2.51095,0,-3.07106,
2.51923,0,-3.07557,
2.52762,0,-3.08578,
2.5359,0,-3.09065,
2.5443,0,-3.10404,
2.55257,0,-3.11807,
2.56092,0,-3.12958,
2.56924,0,3.13546,
2.57763,0,3.12913,
2.58591,0,3.11636,
2.5943,0,3.10976,
2.60257,0,3.09661,
2.61096,0,3.08986,
2.61924,2.7659,3.08645,
2.62763,0.0441972,3.08303,
2.63591,0.0632045,3.08284,
2.6443,0.0898961,3.07938,
2.65261,0.14583,3.0724,
2.66099,0.191268,3.06863,
2.66925,0.208895,3.06839,
2.67765,0.272694,3.06431,
2.68593,0.309819,3.06378,
2.69432,0.328716,3.06352,
2.70257,0.328716,3.06352,
2.71097,0.328716,3.06352,
2.71926,0.328716,3.06352,
2.72763,0.328716,3.06352,
2.73592,0.328716,3.06352,
2.7443,0.328716,3.06352,
2.75258,0.328716,3.06352,
2.76098,0.328716,3.06352,
2.76925,0.328716,3.06352,
2.77765,0.328716,3.06352,
2.78593,0.328716,3.06352,
2.79433,0.355446,3.05986,
2.80261,0.409792,3.05248,
2.811,0.437299,3.04876,
2.81926,0.492791,3.04124,
2.82766,0.520725,3.03744,
2.83593,0.571064,3.02672,
2.84434,0.611567,3.0194,
2.8526,0.452045,3.01249,
2.86095,0.451846,3.00904,
2.86927,0.45677,2.99871,
2.87762,0.469714,2.98842,
2.88594,0.627191,2.93746,
2.89434,0.469053,2.88583,
2.90264,0.683309,2.84034,
2.91102,0.459124,2.78441,
2.91934,0.604062,2.75542,
2.92769,0.411358,2.71609,
2.93596,0.490984,2.69469,
2.94435,0.633755,2.66727,
2.95262,0.46481,2.6182,
2.96101,0.624882,2.58701,
2.96928,0.421774,2.56507,
2.97767,0.493097,2.53735,
2.98596,0.57666,2.51456,
2.99437,0.38292,2.49741,
3.00263,0.41032,2.48778,
3.01102,0.441668,2.47543,
3.0193,0.4815,2.46578,
3.02764,0.524688,2.45611,
3.03598,0.545035,2.45392,
3.04436,0.587852,2.44685,
3.05264,0.43796,2.43974,
3.06103,0.472281,2.43524,
3.0693,0.479841,2.43032,
3.07769,0.497952,2.42803,
3.08598,0.534678,2.42342,
3.09432,0.553258,2.4211,
3.10263,0.571966,2.41877,
3.11104,0.66703,2.40691,
3.11934,0.842357,2.38476,
3.12769,1.0008,2.36415,
3.13598,0.998401,2.34265,
